abatyše	abbess
ústav pro choromyslné	see blázinec
ústav šlechtičen	foundation for noble ladies
ústava	constitution
uštknutí (hadem)	poisonous (of serpent)
utečenec	refugee
úterý	Tuesday
masopustní úterý	Shrove Tuesday (the end of Carnival)
uzavřít manželství	to enter into marriage
užívat	to use
užívat společně	to pool
uživit	to sustain, to maintain
vačkář	pouch maker
vada	defect
dědičná vada	see vrozená vada
vrozená vada	inbom defect
valcíř	roller
valchář	fuller
válka	war
vandrovat	to wander (as ajoumyman)(hist.)
vandrovní knížka	see vandrovní list
vánoční doba	Christmastide
vánoční gratulace	see vánoční pozdrav
vánoční pozdrav	Christmas card
várka	subst. brew, brewing
várečný	1. brewing 2. priviledged/licensed to brew
vazalství	1. vassalage, homage, see also manství
vazba	see knižní vazba
včela	bee
včelař	bee-keeper
včelařství	bee-keeping, apiculture
vdaná	married woman (lady, Mrs.)
vdavky	wedding (ofwoman)
vdova	widow
vdovec	widower
vdovský	widow's, vidual
věčnost	eternity
věčný	1. everlasting, etemal, timeless
2. perpetua!, perennial	3. unending
věčný odpočinek	etemal rest
věda	science
vědec	scientist, scholar
vědecký	scientific, scholarly
vědecká práce	scholarship
vědecká rada	academic board
vědecký pracovník	research/scientific worker
vědomost	knowledge
vědro	1. hogshead (cubic measure)(metrol.)
vejchysta	see výbava
vejminek	1. peasanťs pension or any reservation in kind (reservation-deed)(hist.) 2. fiat of grandparents (hist.)163
vejminkář	retired-peasant/farmer (hist.)
vejrunk	see gruntovní peníze
na věky věků	in eternity
věku svého majíce	being of age
věkovitý	time-honoured
velebný	reverend
veletucet	gross (unit of calculation = 144 pieces)
velezrada	(high) treason
veličenstvo	majesty
Velikonoce	subst. Easter, Pasch
velkostatek	(country) estate, manor (hereditary)
velkostatkář	owner of an estate, landowner, lord ofthe manor
venkovanka	country woman
venkovský	country, rustic, rural
vepřové (maso)	pork (meat)
věrnost1. faithfulness, allegiance	2. constancy
verštat	see dílna
verštatník	worker in a workshop
český věrtel	Bohemian věrtel(= 1/4 of Bohemian korec= 4 měřičkas = 12 pint= 23,3961) vídeňský věrtel Viennese věrtel(= 1/4 of Viennese měřice= 2 Viennese achtls = 15,3721)
věřit (v Boha)	to believe (in God), to trust
zaniklá ves	disappeared village
věstník	bulletin
věštba	oracle, divination
veterán	veteran
veterinář	veterinary surgeon
vetešnice	junk dealer, second-hand dealer, wardrobe dealer (female)
vetešník	junk dealer, second-hand dealer, wardrobe dealer (male)
Vévodství těšínské	Duchy ofTeschen
vidimus	inspeximus (dipl.)
vidlák	see hnisavý zánět podkožní tkáně
zprostit viny	to exculpate
viničný	acij. vineyard
viník	culprit, offender (male)
vinit	to indict, to incriminate
vinnýacij. I. guilty (male)	2. wine
víno	wine
vinš	congratulation (hist.)
vizitace	visitation
vizum	visa
vklad	1. entry 2. deposit 3. share
vladyka	member of Bohemian gentry in medieval period164
státní vlajka	state flag
vlak	train
vlásenkář	see parukář
stará vlast	mother land (for emmigrants)
vlastivěda	local/national history and geography
vlastnictví	proprietorship, ownership, tenure, de- mesne
mít půdu ve vlastnictví	to hold land in demesne
vlastník	proprietor, owner, see also majitel, majetník and držitel
vlastník pozemku	freeholder
vlastnit	to own, to possess, to hold
vlastnost	attribute, quality (in the case of parish registers title of rubric, asking if any person is single, married or widowed)
vlna	1. wool 2. wave
vlnařství	wool-working industry
vloni	last year
voda na plicích	(=,,water on lungs") ascites of lungs (med.)
vodnatelnost	dropsy, ascites, hydrops (med.)
vojákovat	to be in the service of armed forces
vojenský	military
vojín	private (soldier)
vojna	see vojenská služba
jít na vojnu	to join the army
sloužit na vojně	to perform a military service, to serve in the military service
vojsko	army, troops, soldiery
vojtěška	lucem(e)/alfalfa
volby	elections, ballot, voting
volební	electoral
volič	voter
voňavkář	perfumer
vorař	raftsman, rafter
voroplavba	rafting, see also plavení
voršilka	Ursuline
pečetní vosk	see pečetní
vpisek	insertion (gloss, note)
vrátný	concierge, porter, janitor
vrchní (číšník)	head waiter
vrchnoporučenský	guardian (hist.)
milostivávrchnost	gracious lordship (hist.)
nejmilostivější vrchnost the most gracious lordsbip (hist.)
vročení	see rok vydání
vrozený	inbom, innate, congenital, adnate
vrstevník	subst. contemporary
vrub	score
vřed	abscess, ulcer, boil
vřed příjičný	see příjice
vřed z oblitiny	see malomocenství
vředovatina	see vřed
vředovitý	adj. l . sick with epilepsy (hist.)
Všemohoucí (Bůh)	the Almighty, the Omnipotent
všichni	all
vtěleni	incarnation
Vtělení Páně	the Incarnation (Conception of Our Lord or Birth of Our Lord)
vůdce	leader
vůle	will
poslední vůle	last will, testament
svobodná vůle	free will
z Boží vůle	by the will of God
Vulgáta	the Vulgate (ret.)
vůz	waggon, springcart, rack waggon (term also used as unit of capacity, esp. of hay)(metrol.)
výbava	trousseau, hope chest
vybavit věnem	to dower
výběrčí daní	tax-gatherer (hist.), collector oftax
vybírat pokutu	to levy a fine
vybýtsourozence	to provide brothers and sisters with hereditary portions
vybýt dceru věnem	to provide a daughter with marriage portion
vybytý	adj. provided with a hereditary portion
výduť cévy	vascular aneurysm (med.)
výheň	furnace
vyhlásit	to declare, to proclaim, to promulgate, to decree
vyhlásit rozsudek	to deliver judgment
vyhlásit stávku	to call a strike
vyhlášení	declaration
dostat výhost	to be discharged (from seďdom)
vyhostit	to banish, to expel (a person from the country)
vyhynout	see vymřít
východ	East
vykašlávání	expectoration
výkaz	statement, retum, report
výlov	(fish-pond) clearance, see also zátah
výlovek	draught
vyměřit daň	to tax
výnos	1. yield (income from field) 2. decree, edict, ordinance
výpisek	excerpt
výplata	pay, disbursement
vyplatit grunt	to pay offa farm (total amount was paid)(hist.)
vyplatit sourozence	to pay in portions to brothers and sisters (hist.)
výrobek	product, fabric
výrostek	youngster
vyřknout	to utter, to pronounce
vyřknout rozsudek	to pronounce a sentence
vysloužilec	ex-serviceman/veteran
vysloužilý	retired
výslovnost	pronounciat10n
vyslovit soustrast	to express sympathy for
výslužba	retirement
jít do výslužby	to retire
výslužka	hamper
vysoké učení technické	see učení
vysokoškolský areál	university campus
vysoký krevní tlak	high blood pressure, see also hypertenze
vystěhovalectví	subst. emigration
vystoupit z církve	to secede from church
výstraha	waming
vysvěcení	ordination
vysvědčení	report, report card, results, attestation, testimonial, certificate
lékařské vysvědčení	certificate ofhealth
propouštěcí vysvědčení	leaving certificate
vysvětit	to ordain
vysychání míchy	see příjice (hist.)
výsypky	see zarděnky (hist.)
výšepsaný	(=,,written above") mentioned afore
školní vyučování	school teaching
vyvandrovat	see vycestovat (hist.)
vývod z předků	ancestry chart (a chart showing all ancestral lines of ascent, male and female), out­ let, lineage (gen.)
augsburské vyznání	see augšpurská konfese
vzbouření1. agitance, disturbance	2. see vzpoura
vzdát poslední poctu	to pay the last respect
vzdělaný	(well-)educated
vzdělávat (se)	to educate (oneself)
vzkříšení	resurrection
Vzkříšení Kristovo	the Resurrection of Christ
vznik	rise, inception, origin
vzpomínat	to commemorate, to reminisce with, to retrospect
vzpomínka	memory (of), remembrance (of)
vzývání	see invokace
zaalpský	transalpine
zabijačka	1. pig-slaughtering 2. country banquet after pig-slaughtering (pig-feast)
zabít	to murder, to kill
zabití	homicide, killing
zadrhnutí střeva	see neprůchodnost střev (hist.)
zádušní úřad	church funds office
zádušina	see dušnost (hist.)
záchvat	paroxysm, attack (coll.), stroke (coll.)
zajmout	to capture
zákaz	prohibition
základní kámen	basic stone, foundation-stone, building block
Nový zákon	the New Testament
občanský zákoník	civil code
zákonný	lawful, legal, legitimate, statutory
zákonná manželka	see manželka
zákonná překážka	lawful impediment (esp. in church), obstruction
Zalitavsko	Transleithania169
strojní zámečník	mechanic
zámek	1. chateau, country-house, manor (house), castle, hall (with the fonner localjurisdiction)
zámožnost	wealth
zámožný	wealthy, well-to-do
zánehtice	see hnisavý zánět podkožní tkáně (hist.)
zánět	inflammation
zánět plic	inflammation of lungs, pneumonia
zánět pohrudnice	pleurisy
zaniklý	extinct
zaopatření	1. maintenance, sustenance
zaopatřitposlednímisvátostmi	to administer ex- treme unction/the Last Sacrament
zaostalost	mental retardation, idiocy
západ	West
zápal	see zánět
zapálení	see zánět
zapálení hrdla	see záškrt (hist.)
zápisky	notes
zápisné	enrolment/entrance/admission fee
zápisník	note/pocket-book
zapisovat	to take/put down (in a book), to put in, to enter, to register, to write, to record
zapovídat	see zakazovat (hist.)
zaprášení plic	accumulation of dust in lungs (esp.
září	September
zástava dechu	stoppage ofbreath
zástava srdeční činnosti	arrest of heart function
právní zástupce	defender
zastupitelstvo	local authority, local board, board of representatives
zastupovat	to deputize
zasvěcený	dedicated
záškrt	diphteria
zatajovat	see tajit
zatykač	warrant of arrest
záušnice	see zánět příušnic
zauzlení střev	see neprůchodnost střev (hist.)
zavazadlo	luggage/baggage
závazek	obligation
závdavek	earnest money (hist.)
závozník	coachman, delivery man
zavraždit	see vraždit
zavrhnout	see zapudit
záznam	entry, record, registration
zbubření vodnaté	see vodnatelnost (hist.)
zcepenění1. see krvácení mozkové (hist.)	2. de- ath of an anirnal
zdanit	to tax
zednářství	freernasonry
zedník	bricklayer, rnason
zelenina	vegetables
Zelený čtvrtek	Maundy Thursday, the Holy Thursday
zelí	cabbage
zelinář	green-grocer
zem	ground, soil
zeman	squire, free-holder
jméno zemřelého	narne of deceased
zemřít	to die, to decease, to pass away, to perish
od malého zemříti	(=,,to die from a small one [child)") see komplikace v šestinedělí
zemřít bezdětný	to die issueless
zemřít mučednickou smrtí	to suffer from a martyr's death
zemřít stářím	to die of senility
zemský	provincial, realm's
zhmoždění mozku	contusion ofbrain
zhost	see výhost
zchudnout	to become impoverished
zklíčení plic	see ochrnutí plic (hist.)
zklíčeni střev	see neprůchodnost střev (hist.)
zkoušený	examined
zkouška	examination ·
rigorózní zkouška	oral examination for the (lower) doctorate
zlato	subst. I. gold 2. or (heral.)
zlatokop	gold-digger
rýnský zlatý	Rheinland gulden (num.)
zlatá horečka	1. gold rush 2. golden fever
zletilost	see plnoletost
zlistiňovací proces	(process of) issuing (<lip!.)
zločinec	criminal
válečný zločinec	war criminal
zloděj	thief (male)
zlomenina	break (fracture)
zmrzlý	frozen
zmrznout	to freeze to death
značka	mark
3. sign4. badge	5. insignia
alianční znak	arms of alliance (heral.)
dámský znak	arms oflady (heral.)
znalec	connoisseur, specialist, expert
diakritické znaménko	diacritical note
navázat známost	to make an acquintance
znárodněný	nationalized
znárodnit	to nationalize
zneuctít	to dishonour, to disgrace
zneužít	1. to take advantage of 2. to interfere with
zneužitíuse, abuse
pohlavní zneužití	indecent assault on a minor
zneužití úřední moci	malpractice
znevolnit	to enthral
zpověď	confession
ušní zpověď	auricular confession (rel.)
jít ke zpovědi	to go to confession
zpovědní seznamy	confessional registers (hist.)170
zpovědník	confessor
zpovídat	to hear confession
zpracování dat/informací	data processing
zpronevěra	defalcation, embezzlement, peculation, misappropriation
zpronevěřit	to defalcate, to embezzle, to peculate, to misappropriate
zpuchřenina	see hniloba and nádor zhoubný (hist.)
způsob smrti	means (cause) of death
zrada	betrayal
zrádce	traitor (male)
zrádkyně	traitor (female)
zrádník	see psotník
zrádný	treacherous, treasonous, traitorous, perfi- dious
zrána	see poránu
zrod	birth
zrušení trestu (klatby)	amnesty
up, to abandon	2. to forego, to abdicate, to abjure 3. to disown
zřeknout se víry	to abjure a faith
zřeknutí	renunciation, repudiation, waiver, disclaimer, abandonment, abdication, abjuration
ztícenina	ruin
zřízenec	help, assistant, servant, employee
ztráta předků	(=,,loss of ancestors") fewer ancestors due to kinbreed (gen.)
ztratit	to lose
ztratit občanství	to lose citizenship
ztracený	lost
zuby teeth (heral.), see also zbroj
zůstatek	balance (in book-keeping)
zvěd see vyzvědač
zvěrokleštič	gelder, see also miškař
zvěrolékař	veterinary surgeon
Zvěstování Páně	Lady Day (March 25), see also Zvěstování Panny Marie
zvíře	animal
domácí zvířata	domestic animals, livestock
zvonit	to ring a bell
zvracení	vomiting
zvracení krve	vomiting ofblood
zvůle	despotism
žací	reaping, mowing
žací stroj	reaping machine, mowing machine
žačka	schoolgirl
žalm	psalm
žaloba	action (e.g. for damage)
žďáření	buming and cleaning (colonization)
žďářit	to bum and clear
žebř	see žebřík
žebřiňák	rack waggon
žehlířka	clothes-presser (female)
žehnat	to bless
žejdlík1. pint (cubic measure)(metrol.)	2. cup (hist.)
český žejdlík	Bohemianžejdlík(=1/48 ofvěrtel
železárna	ironworks
železniční stanice	railway/railroad station
železný	adj. iron
železo	subst. iron
ženská větev rodu	dista:f:I-side offamily
ženština	subst. female
ženy1. women etc.	2. womankind, womenfolk
žeřátek	see karbunkl
žezlo	sceptre
židovina	see židovna
židovna	Jewish house in village
židovský	Jewish, Judaic
židovská berně	Jewish tax
židovská obec	Jewish community
žíla křečová	varix (med.)
žíla zlatá	see hemoroid (hist.)
žíly krvavé	see hemoroid (hist.)
žilnice	see tyfus břišní (hist.)
žít na hromádce	(=,,to live on a heap") to have been married over the broomstick
žito	rye
živitel	bread-winner (male)
živitelka	bread-winner (female)
živnostník	tradesman, craftsman, (small) business man
věčný život	etemal/everlasting life
životní	1. oflife2. life3. lifelike
životní dráha	path oflife
životopis	curriculum vitae, biography
vlastní životopis	autobiography
životopisný	biographical
žloutenice černá	see žloutenka (hist.)
žloutenka	jaundice
žloutenka infekční	hepatitis
žlučná krev	see žloutenka (hist.)
žlučná zimnice	see žloutenka and zánět žlučníku
žoldnéř	mercenary
žold	soldier's pay, mercenary's pay
župa	district (esp. in the time of the First Czecho­ slovak Republic)
žurnál	joumal
žurnalista	joumalist
