id,latin_word,czech_translation
4482,Servilia,"[zřejmě spíše Slavonie než Srbsko, viz Thouz., Un traité, 34.]"
4483,servilis,"otrocký, s otrokem související"
4484,servio,"dbát, dávat za pravdu"
4485,servio,"být otrokem, sloužit, otročit komu, konat otrocké služby, snášet porobu ; mít na sobě služebnost, být obtížen závazkem ; sloužit čemu, být oddán, hledět si čeho, věnovat se čemu, snažit se ; poslouchat, být ovládán"
4486,servitium animae n.,(souhrn skutků pro spásu duše)
4487,servitium,"mimořádný příděl jídla, (snad i) počastování ; poplatek (za poskytnutí výhody)"
4488,servitium,"služba (v šir. smyslu) ; robota, robotování ; vojenská služba, služba ve vojsku (zejm. královském) ; branná povinnost, povinnost poskytnout vojenskou hotovost a zásoby ; zásobování, (spec.) zásobování (povinné odvádění potravin, k němuž je území zavázáno)	MLLM"
4489,servitium,"služba ; otroctví, otrocký stav, otrocká služba ; jho, jařmo, poroba, poddanství ; otroci, otrocká třída"
4490,servitium,"vasalská služba ; vasalství, vasalské postavení, vasalský stav ; dvorská služba (přítomnost u dvora) ; výkon (funkce, pověření) ; vyživovací povinnost (k cestujícímu úředníku či pověřenci)	MLLM"
4491,servitium,"zbožný život (zejm. Domini/Dei ~) ; uctívání, kult ; mobiliář (zejm. kostelní) ; dvorští hodnostáři ; (církevní) hodnostáři ; úřednictvo"
4492,servo,"dodržovat co, zachovávat co"
4493,servo,"hlídat co ; pozorovat co, dávat pozor na co, konat pozorování ; zdržovat se kde, obývat co, neopouštět jaké místo ; dávat pozor ; zachovávat co, ostříhati ; chránit, zachránit ; uchraňovat, chovat ; vykonávat, obstarávat (DZ ; o nějaké funkci, činnosti ;"
4494,servorum modo,jako otroci
4495,sesquipedalis,dlouhý půldruhé stopy
4496,set,(viz sed)
4497,set,ale	neklas. pravopis
4498,seu,"nebo jestliže, nebo kdyby ; nebo, či ; nebo zda, či zda (ve větách tázacích) ;	= sive"
4499,seu - sive,ať už - nebo	DZ ; albilyon 271:104
4500,si,zda
4501,si fortuna ita fert,"je-li to vůle osudu, chce-li tomu osud"
4502,sibi,"(střv. též) jemu, jí (dativ osobního zájmena pro 3. osobu, předmět nemusí být totožný s podmětem) (Quitt - Kucharský, Latinská mluvnice, 43) ; jim (DZ ex TDH)	MLLM neuvádí sui, sibi ani se"
4503,sibi,"sobě, si (dativ zvratného zájmena pro 3. osobu, předmět musí být totožný s podmětem) ;"
4504,sic,tak
4505,siccitas,suchost
4506,sicut,"(adv.) jako, tak jako ; jako, jakoby ; jako například ; jakožto, coby ; tak jak ; jelikož, vzhledem k tomu, že... (MLLM)	Pražák, tam víc příkladů ; MLLM"
4507,sicut,jako
4508,sicut,"jako, jak, tak ... jako, jakož, jakoby, jako například, tak jak	Pražák nic víc"
4509,sicut eram,(Ovidius)
4510,sicut supradictum est,"jak se praví výše, jak se píše výše"
4511,sicut(i),jako
4512,sidereus,"hvězdný, hvězdnatý ; zářící, třpytný"
4513,sidereus,"hvězdný, hvězdnatý ; zářící, třpytný ; sluneční (Pražák nic víc ; sluneční skutečně v několika spojeních uvádí)"
4514,sidus,"souhvězdí, hvězda"
4515,sigillifer,strážce pečeti	MLLM
4516,signa convertere,"učinit obrat, obrátit se"
4517,signa ferre,bojovat
4518,signa ferre,dáti se na pochod
4519,signa militaria,vojenské oddíly
4520,signa subsequere,jít se svým oddílem
4521,signifer,"hvězdný ; praporečník, vůdce"
4522,significo,"dávat najevo, ukazovat, naznačovat"
4523,significo,"naznačovat, ukazovat, dávat znamení ; poznamenávat, zaznamenávat ; znamenat, zvěstovat ; označovat"
4524,significo,"značit, dávat znamení"
4525,signis occurrere,narazit na
4526,signo,(alqm suo honore) prokazovat (náležitou úctu komu)
4527,signo,"poznamenávat, opatřovat znamením, znamenat, poznačovat, označovat (co čím) ; vtiskovat ; zaznamenávat, zapisovat ; vpisovat, vrývat ; pečetit, opatřovat pečetí ; (o mincích) razit ; naznačovat ; pozorovat, zaznamenávat"
4528,signum,"odznak oddílu, prapor, zástava"
4529,simia,opice (i přen. o napodobovačích)
4530,similitudo,podobenství	Tractatus manicheorum s. 96
4531,simplex,"jednoduchý, nesložený, nesmíšený, pouhý ; jednotlivý ; jediný ; přirozený, obyčejný, neupravený ; přímý, bezelstný, prostý, prostomyslný, upřímný, poctivý ; sprostý, obyčejný"
4532,simpliciter,"jednoduše, prostě ; jednotlivě ; přímě, otevřeně, poctivě"
4533,simpliciter,"jednoduše, prostě ; jednotlivě ; přímě, otevřeně, poctivě ; (nic jako ""zkrátka a dobře"" v Pražákovi nenalezeno)"
4534,simul,"jakmile, hned jak"
4535,simul,"přitom, zároveň"
4536,simul,"přitom, zároveň, současně"
4537,simul,"přitom, zároveň, vzápětí"
4538,simul,"společně, zároveň, rovněž"
4539,simul,"zároveň, současně"
4540,simul - simul,jednak - jednak
4541,simulacrum,"socha (bohů), modla"
4542,simulatio,přetvářka
4543,simulatio,"záminka, přetvářka"
4544,simulo,"vymlouvat se, předstírat"
4545,sin,"jestliže však, kdyby však"
4546,sine,"nechať, třebas, ať (tvar od slovesa sino)"
4547,sine medio,"bezprostředně, bez prostředníka	DZ ex TDH 312:23"
4548,sine velamine,"bez obalu, otevřeně	DZ ex RS 59:25"
4549,singuli,"jednotliví, po jednom"
4550,singulus,(Pražák takto v sg. nic ; viz singuli)
4551,singulus,jednotlivý
4552,singulus,jednotlivý ; vždy jeden (RS 48:19)
4553,sinister,"levý ; nejapný, neobratný ; zvrácený ; nepříznivý, neblahý ; nešťastný"
4554,sinistra,"levice, levá strana"
4555,sinistrorsus,"nalevo, vlevo"
4556,sino,"dovolit, dopustit"
4557,sino,"dovolit, nechat, dopustit, strpět ; položit, postavit (tento význam přetrval jen v part. situs)"
4558,siquidem,jestliže totiž
4559,siquidem,"jestliže totiž (Pražák nic víc, ale viz RS 52:7 ; 57:22, kde to je zřejmě prostě takové shrnovací ""takže"" zřetězující novou větu s rozsáhlejším předchozím výkladem: takže vyjmenované rouhačské bludy Jan z Lugia vymyslel.)"
4560,siquidem,"jestliže totiž, jelikož"
4561,siquidem,"pak (synonymum ""autem"")	MLLM nic víc"
4562,siquidem,"takže, tudíž, pročež, proto (zřejmě i takto účinkově, viz RS 47:21, které Duvernoy překládá ""c'est ainsi que"" a WEH ""since"")"
4563,siquidem,"takže, tudíž, pročež, proto? (zřejmě i takto účinkově, viz RS 47:21, které Duvernoy překládá ""c'est ainsi que"" a WEH ""since"")"
4564,siquis,(form. si quis ; např. RS 59:21)
4565,sisto,"zadržet, zastavit ; postavit ; zastavit se, stanout, obstát"
4566,Siurbi,Srbové
4567,sive,čili (jednoznačně v RS 59:27 a mnoha dalších místech)
4568,sive,"nebo (synonymum aut) ; a (synonymum et)	MLLM nic víc ; ""čili"" tu není"
4569,sive,"nebo jestliže, nebo kdyby ; nebo, či ; nebo zda, či zda (ve větách tázacích) ; [čili? Pražák toto nenal.]"
4570,sive - sive,ať už - nebo
4571,sive - sive,buď - anebo
4572,sive - sive,"buď - buď, ať - ať	Pražák"
4573,sive = seu,"nebo jestliže, nebo kdyby, nebo"
4574,Slavi,Slované
4575,socer,tchán
4576,societas,spoluúčast (vojenská)	Havlík
4577,socius,druh
4578,soffoco,"zardousit, uškrtit, zadusit, zadrhnout hrdlo"
4579,solemnis,"pravidelný, výroční, každoročně se vracející (zejm. o náboženských svátcích) ; slavnostní	pozd."
4580,solempnis,"pravidelný, výroční, každoročně se vracející (zejm. o náboženských svátcích) ; slavnostní	pozd."
4581,solennis,"pravidelný, výroční, každoročně se vracející (zejm. o náboženských svátcích) ; slavnostní	pozd."
4582,solitudo,pustina
4583,solium,"trůn, sedadlo"
4584,sollemne,"slavnost, bohoslužba ; oběť, žertva ; blahopřání"
4585,sollemnis,"pravidelný, výroční, každoročně se vracející (zejm. o náboženských svátcích) ; slavnostní	Pražák nic víc"
4586,sollicito,"znepokojovat, pobuřovat, popouzet"
4587,solum,"pouze, toliko, jen"
4588,solummodo,"jen, pouze, jenom, toliko"
4589,solummodo,"pouze, jedině"
4590,solvo,"rozpustit, odvázat, rozvázat, rozvolnit ; zvednout kotvy ;  zbavit, zprostit, osvobodit ; rozbít, zbořit, strhnout ; uvolnit, zeslabit ; rozluštit ; zapudit ; zahnat ; zrušit, odstranit"
4591,solvo,"rozpustit, odvázat, rozvázat, rozvolnit ; zvednout kotvy ; zbavit, zprostit, osvobodit ; rozbít, zbořit, strhnout ; uvolnit, zeslabit ; rozluštit ; zapudit ; zahnat ; zrušit, odstranit"
4592,solvo,"vytáhnout kotvy, odrazit loď"
4593,somnus,"spánek, sen"
4594,Sorabi,Srbové (zejm. ve franckých pramenech 9. stol. takto)
4595,sordes,"nečistota, špína ; špinavost, nízkost, sprostota (častěji v pl.)"
4596,soror conversa,řeholní sestra určená k posluze
4597,sors,"los, losování, losovací kamének, věštba, osud ; práce, povinnost, úřad ; úděl, sudba ; úděl, účast v čem ; část ; jistina"
4598,sors,"los, losování, věštba, osud"
4599,sotius,(viz socius)
4600,Spalatensis,splitský
4601,Spalato,Split
4602,spatium,"prostor, čas"
4603,spatium,"vzdálenost, délka, prostor, čas"
4604,specialis,"(in speciali překládá WEH ""especially"")"
4605,specialis,"soukromý, důvěrný (význam ""důvěrně známý"" ani ""soukromý"" ve smyslu ""vlastněný"" z fr. ani angl. ekvivalentu MLLM nelze jednoznačně vyvodit)	MLLM nic víc"
4606,specialis,"zvláštní, speciální"
4607,species,"přelud, klamný zjev, vidina"
4608,species,zjev
4609,species,"zjev, přelud, klamný zjev, vidina"
4610,species,"zjevení, portrét, vzhled, podívaná, krása"
4611,speculatorius,výzvědný
4612,speculor,"pátrat, slídit"
4613,spero,"doufat, mít naději ; čekat, očekávat ; obávat se, bát se (nějaké nepříjemné věci)"
4614,Spiritus sanctus,Duch svatý
4615,spiritus sumere,zhrdnout
4616,spiritus,"dech, vánek"
4617,spiritus,"dech, vzduch, inspirace, život, pýcha"
4618,splendor,"lesk, třpyt, svit, záře ; vážnost nádhera ; vnější lesk ; jasnost, výraznost, zvučnost (řeči)	svit DZ ex RS"
4619,Spolitanus,Spoletský	geogr.
4620,spongia,"houba ; měkký krunýř šermířů, náprsník"
4621,sponte,"dobrovolně, úmyslně, sám od sebe, z vlastního popudu ; po vůli ; o své újmě, sám o sobě"
4622,stabilitas,pevný postoj
4623,Stanislaus de Znoyma,Stanislav ze Znojma
4624,stans,"vestoje, vstoje"
4625,stare (subst. indecl.),"obydlí, příbytek	MLLM"
4626,stare in suis distinctionibus,"trvat na svém, stát na svém	LMALB"
4627,statim,"hned, ihned, stále, hned na místě ; pevně, stále"
4628,statim,ihned
4629,statio,stráž
4630,statuo,postavit se proti
4631,statuo,rozhodnout se
4632,statura,"postava, vzrůst"
4633,status,"premisa??? (Moneta s. 90b, 4. odst.)"
4634,status,"postoj ; postavení, stanovisko ; stav, poměry, okolnosti ; příznivý stav, dobré postavení, blahobyt"
4635,status,stav
4636,statuto,"postavit, vystavět, zřídit ; stanovit, ustanovit, určit, nařídit ; stanovit, soudit, představovat si ; ustanovit se, odhodlat se, rozhodnout se, umínit si"
4637,Stiepanus,Štěpán
4638,stipendiarius,poplatný
4639,stipendium,daň
4640,stlocus,(arch. pro locus)
4641,sto alci rei,"trvat na čem, stát v čem"
4642,sto,"čekat, nic nedělat ; bydlet, sídlit, zůstávat ; obstát (explicitně MLLM ; i např. o tvrzení, ověřeno jasně v Moneta 90b a asi i v jedné citaci MLLM) ; (impers. ""stetit"") je dohodnuto, rozhodnuto, stanoveno	MLLM"
4643,sto,"dostát, dodržet"
4644,sto,"stát (opak jiné polohy) ; stát v řadě, stát ve zbrani ; stát pevně, odolávat v boji, vydržet (neustupovat) ; být zakotven (o lodi) ; strmět, trčet, tyčit se ; třeštit, být vypoulen (o očích) ; stát, být za co (o ceně) ; být hotov"
4645,sto,"stát při kom, být stoupencem koho, být na straně koho ; záviset na kom, záležet na kom ; zastavit se, stát (opak pohybu), nehýbat se, prodlévat ; uváznout ; stát pevně, trvat neporušen ; být rozhodnut, ustanoven, určen ; zůstávat, bydlet (DZ ex TDH 308:31"
4646,sto,"obstát (i např. o tvrzení, srv. zcela jasně Moneta 90b)"
4647,stola,"dlouhé šaty, štóla"
4648,strepitus,"hřmot, šustot"
4649,strepitus,"skřípot, hřmot"
4650,strictus,"sevřený, těsný ; úsečný, řízný, přesný ; přísný (poslední dodal DZ ex TDH 315:32)"
4651,striga,čarodějnice
4652,studium belli gerendi agricultura commutare,vyměnit válčivost za rolnictví
4653,studium,náklonnost
4654,suadeo,"doporučovat (alci alqd), radit, přimlouvat se za co ; vybízet, pobízet, navrhovat ; přemlouvat, přesvědčovat ; sibi suadere přesvědčit se, nabýt přesvědčení"
4655,sub oculos cadere,bít do očí
4656,sub vexillo,jako zvláštní oddíl
4657,subaudior,"být zamlčený, být nevyslovený ; být napověděný, být obsažen, ale nikoli explicitně"
4658,subditus,"podřízený, poddaný ; svěřenec (DZ ; ve smyslu církevní jurisdikce či pastorace je to leckdy vhodnější než poddaný apod., ač nikde nenal. ; např. RS 48 ; DHC)"
4659,subditus,"ponížený, uctivý ; podřízený, ovládaný	MLLM"
4660,subditus,"obyčejný (dobré v RS 44:2, kde je protiklad představený kontra obyčejný)"
4661,subditus,poddaný	Pražák nic
4662,subditus,poddaný ; podřízený ; vasal	MLLM
4663,subdo,"podložit, podstrčit ; porobit, podmanit ; podstrčit (podvodně) ; dosadit (někoho na čí místo) ; připojit, dodat (několik slov k již řečenému apod.)"
4664,subduco,vyvést
4665,subduco,"vytáhnout, vyvést"
4666,subeo,podstoupit
4667,subeo,"vstupovat, vcházet do, pod něco jít"
4668,subfero,zdvihnout
4669,subfodio,"podkopati, zespodu probodnouti"
4670,subiaceo,"ležet pod něčím, ležet vespod ; podléhat, být podroben, být podřízen"
4671,subicio,"podhazovat ; podkládat, podstavovat, podstrkovat ; podrobit, podmanit ; podřadit, počítat k čemu ; podat, poskytnout ; napovědět, vnuknout, dát, vzbudit ; umístit, připojit co k čemu ; připojit, podotknout ; podvrhnout, podstrčit"
4672,subicio,"podhazovat, podstrkovat"
4673,subicio,"vystavit, podhazovat, podstrkovat"
4674,subito,náhle
4675,subito,"náhle, nenadále"
4676,subitus,"náhlý, nenadálý"
4677,subjicio,házet pod
4678,sublatus,zmařený
4679,sublatus,zpyšnělý
4680,sublatus,"zpyšnělý, zhrdlý, vynášející se"
4681,sublevo,postavit se
4682,sublevo,"pozvednout, zdvihnout"
4683,sublevo,"pozvednout, zmírnit, ulehčit"
4684,sublevo,"ulehčit, zmírňovat, usnadňovat"
4685,sublica,"trám, kůl"
4686,sublime,"do výše, vzhůru ; ve výši, vysoko"
4687,submergo,utopit
4688,submersus esse,"utopit se	DZ ex Fournier I, 237"
4689,subministro,"dodávat, dovážet"
4690,subministro,"dodávat, dovážet, podávat"
4691,submitto,poslat
4692,submoveo,"zahánět, zatlačit"
4693,submoveo,"zahnat, odehnat"
4694,submoveo,"zatlačit, odstranit"
4695,suborior,"vzejít, vzniknout?	Pražák nic."
4696,subruo,"podrýt, podbourat"
4697,subsequenter,(Pražák nic)
4698,subsequenter,"dále, potom (podle angl. ekvivalentu v MLLM ; fr. ekvivalent ""ŕ la suite"", tj. nesamostatné ""následkem, po + subst."" je divný)	MLLM"
4699,subsequor,"následovat, jít, táhnout, přidat se"
4700,subsidium,"pomoc, posila"
4701,subsidium,"záloha, pomoc, přispění"
4702,subsido,zůstat
4703,subsisto,zastavit se
4704,substantia,podstata
4705,substantia,"podstata, povaha (i pro kvalitu, nejen zcela abstraktně)"
4706,subsum,býti nablízku
4707,subsum,"být dole, ležet vespod, být pod čím ; být nablízku ; nastávat (o čase) ; vězet, tajit se v čem"
4708,subterfugio,uniknout
4709,subtraho,"odnímat, brát"
4710,subtus,"vespod, dole"
4711,subveho,dovážeti zdola nahoru (proti proudu)
4712,subverto,podvracet
4713,subverto,"podvrátit, zkazit"
4714,subverto,"podvracet, vyvracet, kácet, podkopávat"
4715,succado,"postoupit, blížit se, vzhůru stoupat"
4716,succedo,"následovat, postupovat"
4717,succedo,"následovat, postupovat, nastoupit"
4718,succedo,"vystoupit, nastoupit"
4719,succido,"podtít, podseknout, podežínat"
4720,sudo,"potit se ; přen. zapotit se, dát si práci, lopotit se, namáhat se ; být vlhký, být zbrocen ; vypotit, potit co (ze sebe myšlenky apod.)"
4721,Sueones m. pl.,"Švédi, Varjagové	Havlík"
4722,sufferentia,"trpělivost, rezignace"
4723,suffero,vézt
4724,suffero,"vzít na se, zbavit"
4725,sufficienter,dostatečně
4726,suffoco,"zardousit, uškrtit, zadusit, zadrhnout hrdlo"
4727,suffragium,"hlasování, soud, hlas, hlasovací právo"
4728,suggestio,"našeptávání, přemlouvání, vemlouvání, vnukání, radění ; otázka vložená do řeči i s odpovědí (rétor. ; z Pražáka nejasné, zda je odpověď vložena explicitně, nebo zda lze přeložit ""řečnická otázka) ; podnesení, podložení"
4729,suggestus,"tribuna, řečiště"
4730,suggillo,"pohmoždit, ztlouci, zmlátit, nadělat modřiny ; posmívat se, tupit"
4731,sugillo,"pohmoždit, ztlouci, zmlátit, nadělat modřiny ; posmívat se, tupit"
4732,sui,"sebe (genitiv zvratného zájmena pro 3. osobu, předmět musí být v klas. lat. totožný s podmětem)	DZ"
4733,suma,"úhrn, součet, počet, množství, souhrn, účet"
4734,sumere animum,vzmužit se
4735,sumere liberos,"adoptovat, za své přijmout, osvojit si (dítě)"
4736,summum in cruciatum venire,propadnout nejhorším mukám
4737,summus,"nejdůležitější, nejvyšší"
4738,summus,nejvyšší
4739,sumo,"vynaložit, užít (zřejmě i užít slovo, viz RS 53:16) ; mít za to, tvrdit, pokládat"
4740,sumo,"vzít si, brát"
4741,sumo,"vzít, brát, chopit se, vzít si, brát si"
4742,sumo,"vzít, brát, chopit se, vzít si, brát si ; obléct co, vzít na sebe co ; přiložit si ; vypůjčit si ; najmout ; koupit ; požít ; nabýt, osvojit si ; zvolit, vybrat si ; (pas.) být ustanoven ; vzít na sebe, podniknout, počít"
4743,sumo,"vzít, chopit"
4744,sumptuosus,nákladný
4745,sumptus,"náklad, výdaj"
4746,suo nomine,"osobně, z osobních důvodů"
4747,suo sumptu,"svým nákladem, na své útraty"
4748,super,(alqa re) o čem
4749,super,"(neklas.) (ak./abl., pády se mísí) ; u, poblíž ; během ; nad (o moci) ; pokud jde o koho/co ; proti komu, na úkor koho ; proti (předpisu apod.) ; pod hrozbou čeho, pod trestem čeho	MLLM"
4750,super,"nahoře, navrchu, shora ; nadto, kromě toho, mimoto ; nad čím, na čem ; za ; stran čeho (s ak.) ; nad, přes (o míře) ; při (jídle - většinou ve spojení super cenam, super vinum)"
4751,superbia,"pýcha, opovážlivost, zpupnost"
4752,supernus,"horní, vrchní, nebeský"
4753,supersum,zbývat
4754,supersum,"zbývat ; přebývat, být navíc ; být ještě naživu, přežít, zůstat naživu"
4755,supersum,zbývat
4756,supertunicale,"kabátec (MLLM surcoat, což je dle LL kabát, kabátec, suknice)"
4757,supertunicalis,"kabátec (MLLM surcoat, což je dle LL kabát, kabátec, suknice)"
4758,suppan,župan (titul)
4759,suppeto,stačit
4760,suppeto,stačit
4761,supplanto,"podrazit nohy komu, nastavením nohy podrazit"
4762,suppleo,"nahradit, doplnit, zaplnit"
4763,suppleo,"opět naplnit ; doplnit, dolít, dodat, na plný počet uvést"
4764,supplicatio,"poděkování, děkovná slavnost, slavnostní pobožnost"
4765,suppliciter,"pokorně, prosebně"
4766,supplicium de aliquo sumere,vykonat na někom popravu
4767,supplicium sumere de alqo,"popravit koho, na hrdle potrestat koho"
4768,supplicium,"pokuta, trest"
4769,supplicium,"trest, pokuta"
4770,supplicium,"trest, potrestání"
4771,supplicium,"trest, potrestání, trest smrti"
4772,supporto,"dopravovat, dovážet"
4773,supra,"nahoře, nad tím, svrchu ; dříve (časově) ; nad to, přes to, více, výše (míra) ; nad co, nad něco ; na čem ; přes co ; před (čím) ; nad, přes (co)"
4774,supradictus,"svrchu řečený, výše zmíněný"
4775,Surbia,Srbsko
4776,suscipio,"chytit, podchytit, zespodu chytit, zachytit ; přijmout, vzít k sobě, ujmout se koho ; vzít na sebe, podstoupit, podniknout ; podrobit se, podvolit se ; být trestán, podrobit se trestu ; obtížit se zločinem ; odvětit, ujmout se slova"
4777,suscipio,"ujmouti se, chopiti se"
4778,suscipio,"vzít, přijmout, chytat"
4779,suspicor,podezřívat
4780,suspicor,"podezřívat, tušit, předvídat, předpokládat"
4781,suspicor,"tušit, podezřívat"
4782,suspitionem dare,vzbudit podezření
4783,sustineo,zadržet
4784,sustineo,"zadržet, odolávat"
4785,sustineo,"podpírat, držet"
4786,sustineo,"podpírat, nést, držet nahoře ; udržovat ; krýt se (zbraní) ; zadržovat (v pohybu), zdržovat, zastavovat ; nenechat klesnout, podporovat, chránit ; vydržovat, živit"
4787,sustineo,"snést, vydržet co ; odolat čemu ; vzít na sebe, podstoupit, podrobit se čemu ; zdržovat, protahovat"
4788,sustineo,"vytrpět, snést, podstoupit (trest, ale i něco pozitivního či neutrálního ; DZ ; vhodné např. albilyon 271:104 ; TDH 312:19)"
4789,sutor,"švec, obuvník"
4790,suus,"osobitý, svérázný, zvláštní ; určený, příslušný ; vhodný, náležitý ; milovaný, drahý ; nakloněný, přátelský	Pražák ; Kábrt et al."
4791,suus,"svůj, svá, své (v klas. lat. jen pro přivlastňování 3. osobě sg. a pl., kde je vlastník totožný s podmětem) ; (střv. též) jeho, její (vlastník není totožný s podmětem) (Quitt - Kucharský, Latinská mluvnice, 45)	Kábrt et al. ; MLLM nic"
4792,tabernaculum,"bouda, stan"
4793,tabula,"výkaz, deska, soupis, prkno, seznam"
4794,tabulatum,"patro, poschodí"
4795,taedium,"odpor, hnus"
4796,taedium,"ošklivost, hnus ; odpor, nechuť, nelibost (alcis rei), omrzelost, nuda"
4797,taedius,"hnusný, nechutný (DZ ; Pražák nic, ale viz taedium)"
4798,talis - qualis,takový - jaký
4799,talis ... ut,"takový ..., že"
4800,talis,"takový (Pražák. MLLM nic. DZ zaznamenal též jako náhradu ukazovacího zájmena, asi jen neklas.)"
4801,talis,"ten [nahrazuje ukazovací zájmeno, zřejmě jen neklas.]"
4802,taliter,takto
4803,talpa,krtek
4804,talus,kotník ; hrací kostka
4805,tamen,(MLLM nic)
4806,tamen,"(někdy očividně výplňkové slovo, které se nepřekládá, viz RS 45:17, 54:21)"
4807,tamen,"(někdy výplňkové slovo, které se nepřekládá??? viz RS 45:17)"
4808,tamen,"ostatně? [Durand 288 v kontextu, kde by se ""ostatně"" hodilo nejlépe, ač Pražák tento význam neuvádí.]"
4809,tamen,"přece, ale přece, přece však, však, nicméně ; aspoň"
4810,tamen,"přece, přesto, nicméně"
4811,tamquam,"jako, jakožto, jakoby ; konečně, pak"
4812,tandem,konečně
4813,tandem,"konečně, pak"
4814,tandem aliquando,přece jednou
4815,tango,"dojít, dostoupit, dospět, vstoupit, vkročit, vystoupit, dostat se k čemu ; přistát (o lodi) ; dát se do čeho, začít co, zabývat se čím ; zažít, pocítit (pas.) ; dojmout, jímat, pohnout ; zachvátit, jímat, zasáhnout ; vynořit se, vyvstat (zejm. o myšlence)"
4816,tango,"dotýkat se, sahat na co, zavadit o co ; zasáhnout, bít, udeřit do čeho ; obestřít, obklopit ; pokropit, podkouřit čím ; dotýkat se čeho (a brát si z toho) ; okoušet, ochutnávat ; napálit, ošidit"
4817,tanquam,"jako, jakožto, jakoby ; konečně, pak"
4818,tanquam,"konečně, pak ; konečně, přece, jenom, jen, pak (zejm. v otázkách jako vyjádření nevole)"
4819,tantopere,"tak horlivě, tak velice, s takovým úsilím"
4820,tantulus,"tak malý, maličký, nepatrný"
4821,tantum,(jen) tolik
4822,tantum,"tak velice, tolik"
4823,tantum ... quantum,tolik ... kolik
4824,tantum modo,"jen, jenom, pouze, toliko"
4825,tantummodo,"jen, jenom, pouze, toliko"
4826,tantus ... quantus,takový ... jaký
4827,tantus,"tak velký, stejně velký"
4828,tardo,"zdržet, zadržet, ochromit"
4829,tardus,"pomalý, loudavý, váhavý"
4830,Tartarus,"Tartar, podsvětí ; peklo"
4831,Taurinensis,turínský
4832,taurus,"býk, vůl, tur"
4833,taxus,tis
4834,tectum,"střecha, krov, kryt, příbytek, byt, obydlí"
4835,tegimentum,"přikrývka, pokryvadlo, pokrývka"
4836,telum,zbraň
4837,telum,"zbraň, oštěp"
4838,telum,"zbraň, střela, šíp"
4839,temerarius,"neodpovědný, zaslepený, nerozvážný"
4840,temere,"lehkovážně, slepě"
4841,temere,"nesnadno, ne tak snadno, stěží, sotva"
4842,temeritas,nerozvážnost
4843,temo,voj
4844,temperantia,"umírněnost, střídmost, vyrovnanost"
4845,tempero,"zdržet se, krotit, mírnit"
4846,tempero,"zdržovat se, ovládat se, zachovat mír"
4847,tempestas,"doba, chvíle, čas"
4848,temporaliter,dočasně ; včasně
4849,temporaliter,"dočasně ; včasně (Pražák v hranaté závorce, spíše brát s rezervou) ; časově, v čase, časně (DZ ex Flor. rit. 246)"
4850,tempore gratiae,toho času? [WEH překládá jinak]	DHC 311:26
4851,tempto = tento,"pokoušet, napadat, dráždit"
4852,tempto,"dráždit, napadat"
4853,tempto,pokoušet se
4854,tempus,"čas, doba (obecně i noční doba apod.) ; okamžik, chvíle, hodina ; lhůta, čas, určený čas, čas potřebný k čemu ; pravý čas, příhodná chvíle, vhodná příležitost"
4855,tempus,"čas, doba (obecně i noční doba apod.) ; okamžik, chvíle, hodina ; lhůta, čas, určený čas, čas potřebný k čemu ; pravý čas, příhodná chvíle, vhodná příležitost ; poměry, okolnosti, stav, doba, osud, postavení ; počasí ; věk, život, čas života"
4856,tempus,"počasí (13. stol.) ; ""quattuor tempora"" 	MLLM"
4857,tempus,"poměry, okolnosti, stav, doba, osud, postavení ; počasí ; věk, život, čas života ; počasí (13. stol.) ; ""quattuor tempora"" ; základní doba taktu ; v pl. kvantita, rytmus (v metrice)"
4858,tempus,"spánek, skráň ; obličej, hlava"
4859,tempus,"základní doba taktu ; v pl. kvantita, rytmus (v metrice)"
4860,tenax,"držící se čeho (neklas. alcis rei) ; pevný, silný ; zachycující nohy (neschůdný) ; tuhý, hustý, lepkavý, přilnavý, vazký ; pevný, stálý, houževnatý, vytrvalý ; neústupný, tvrdošíjný, urputný, zarputilý ; vzpurný ; šetrný, skoupý, lakomý ; trvalý"
4861,tendo,"tábořit, stanovat"
4862,tenebrae,"temnota, tma, temnost ; skrytost, ústraní ; chmury, pochmurnost"
4863,teneo (v pasivu),"být vázán, být povinován	DZ"
4864,teneo cum + abl.,držet s kým	DZ ex TDH 313:2
4865,teneo,"držet se čeho (i přen., např. TDH 311:6n.)"
4866,teneo,"dosáhnout, dospět, dostihnout"
4867,teneo,"držet ; objímat, držet v nějaké poloze ; obracet, zaměřovat, upírat (zrak) ; držet se čeho, dotýkat se čeho ; jít, spět, směřovat, plout kam ; chovat v paměti, pamatovat na co ; pojímat, chápat, rozumět, vědět"
4868,teneo,"zachvacovat, uchvacovat ; být usvědčen, být dopaden ; týkat se čeho ; zadržovat, zastavovat, překážet, zabraňovat ; zachovávat co, vytrvávat v čem ; držet, držet se, trvat ; dokazovat ; tvrdit"
4869,teneo,"zaujímat, mít obsazeno, mít v držení ; bydlet, obývat, sídlit, být usazen ; naplňovat ; pokrývat ; dospět, dorazit ; přistát, přirazit, zakotvit ; obdržet, dostat, dosáhnout, dojít čeho ; mít v moci, spravovat, řídit ; poutat, vázat ; zavazovat"
4870,tenuis,nepatrný
4871,ter,třikrát
4872,terga vertere,dát se na útěk
4873,tergum,"záda, hřbet"
4874,tergus,"záda, hřbet"
