id,czech_word,english_translation
4777,podpraporčík,warrant officer (one of several)
4778,podpůrný,supporting
4779,područí,"bondage, thrall"
4780,podsedek,1. holder of smaller than normal
4781,podzámčí,settlement around a manor house/castle
4782,podzim,autumn/fall
4783,pogrom,pogrom
4784,pohan,"heathen, pagan"
4785,pohanství,"heathenism, paganism"
4786,pohlaví,"gender, sex"
4787,pohlavní,sexual
4788,pohlavní styk,"sexual intercourse, see also koitus and soulož"
4789,pohnat,"to arraign, impeach, summon"
4790,pohodnice,knacker's yard
4791,pohodný,knacker
4792,pohraničí,"border-land, frontier regions/area"
4793,pohrobek,posthumous child (child boru after de- ath offather)
4794,pohřbení,burying
4795,pohřbít,to bury
4796,pohřbít po křest'anském způsobu,to bury with Christian rites
4797,pochod,march
4798,pochodovat,to march
4799,pochop,see biřic
4800,pochovat,to bury
4801,pochován(a),buried
4802,pochovávající kněz,burying priest
4803,pojednání,"treatment, treatise"
4804,pojmout za ženu/muže,"to take one for wife/ husband, to take one in marriage"
4805,pokrevenství,"consanguinity (blood-relationship), kindred (gen.)"
4806,pokřtěnec,see pokřtěný
4807,pokřtít,to baptize/baptise
4808,pokřtěn jest,he was baptized (hist.)
4809,pokuta,penalty
4810,polcení,"impalement, dimidiation, per pale (heral.)"
4811,polcený,impaled (heral.)
4812,policajt,"policeman (hist., today coll.)"
4813,policejní,acij. police
4814,policejní úřadovna,see policejní stanice
4815,policie,subst. police
4816,tajná policie,secret police
4817,policista,policeman
4818,tajný policista,secret policeman (G-man)
4819,pololetí,half of a year
4820,polorodý,acij. uterine (bom of the same mother but by a different father)(gen.)
4821,polounciála,halfuncial (paleog.)
4822,polovina,half
4823,v polovině století,in the middle of century
4824,polský,Polish
4825,polygrafie,"printing (pre press, press, post press)"
4826,pomazání nemocných,Holy/Extreme unction
4827,Pomazaný Páně,the Lorďs Anointed (Christ)
4828,pomocné vědy historické,auxiliary sciences of history
4829,svatodušní pondělí,"Whit Monday, Whitmonday"
4830,popálenina,subst. bum
4831,popel,ash
4832,popeličina,vair (heral.)
4833,popis,description
4834,poplatek,"tax, fee, charge, subscription"
4835,poprava oběšením,execution by hanging
4836,poprava stětím,"beheading, decollation"
4837,popravit,to execute
4838,poránu,in the moming
4839,poroba,"serfdom, enslavement, servitude, subjection, bondage"
4840,porod,"childbirth, delivery also see narození"
4841,porostlina,growth (hist.)
4842,porota,jury
4843,poručnictví,"guardianship, wardship, tutelage"
4844,poručník,guardian (male)
4845,porybný,superintendant offisheries
4846,posedlost ďáblem,diabolical obsession
4847,posel,messenger
4848,soudní posel,summoner (hist.)
4849,poselstvo,"delegation, deputation (hist.)"
4850,posetý,(= powdered) semé (heral.)
4851,poslíček,"errand boy, messenger boy"
4852,posloupnost,succession (gen.)
4853,rodová posloupnost,succession of generations in lineage
4854,poslušný,obedient
4855,posmrtný,posthumous
4856,postavit za svědka,see stát za svědka
4857,postel,bed
4858,postila,postil (rel.)
4859,postní,Lenten
4860,postní den,fasting day
4861,postní doba,"Quadragesima, the Lenten season"
4862,postoupit,"to assign, to cede"
4863,postřihovač,"shearer, cropper"
4864,posudek,"the second court oflaw, following"
4865,posvátný,"sacral, sacred"
4866,posvěcení,"consecration, sacrification"
4867,posvětit,to consecrate
4868,posypaný,see posetý
4869,pošikem,see šikmé dělení
4870,pošťák,postman/mailman
4871,poštmistr,postmaster
4872,poštovní,"postal, mail"
4873,poštovní dostavník,post-coach (hist.)
4874,poštovní razítko,postmark
4875,poštovní tajemství,secrecy ofthe post/mail
4876,poštovní úřad,see pošta
4877,poštovní známka,postage stamp
4878,potah,"horse-span, ox-span, horse-team, ox-team"
4879,potence,potency
4880,potomstvo,"issue, offspring, progeny, posterity"
4881,potrat,"abortion, stillbirth"
4882,samovolnýpotrat,"miscarriage, spontaneous abortion"
4883,umělý potrat,intentional abortion
4884,poustevnice,"anchoress, ancress"
4885,poustevník,"hermit, eremite, anchoret, anchorite"
4886,pouštění žilou,blood-letting
4887,poutník,pilgrim
4888,pouť1. pilgrimage,"2. fair, wake"
4889,poválečný,post-war
4890,pověra,superstition
4891,pověst,"1. legend, tale 2. reputation"
4892,povijan,binder
4893,povinnost,"duty, obligation"
4894,branná povinnost,"conscription, see also"
4895,povít,to give birth to (hist.)
4896,povolání,"occupation, profession"
4897,povolat,"to call up (for military service, etc.)"
4898,povolení,"permission, dispensation (also warrant, grant, accordance, concession, license, appropriation, release)"
4899,povolit,"to permit, to grant permission"
4900,Povýšení sv. Kříže,Exaltation of the Holy Cross (September 14)
4901,později,later
4902,pozemek,"ground, land, piece of land, plot, demesne"
4903,pozůstalost,"testator's estate, hereditaments, inheri tance, also see dědictví"
4904,pozůstalá vdova,remained widow
4905,pozůstalý vdovec,remained widower
4906,pra-,greatgrand- (e.g. pravnuk= greatgrandson)
4907,pracovní,aqj. work(ing)
4908,pracovní smlouva,contract of service
4909,pradlena,"laundress, washer (female)"
4910,ložní prádlo,bedclothes
4911,Pragmatická sankce,the Pragmatic Sanction106
4912,prachárna,powder-magazine
4913,práchnivost,see svrab
4914,prám,1. raft2. ferry
4915,pranýř,pillory
4916,praobyvatel,"autochthon, aboriginal"
4917,praporec,pennon
4918,prapra-,great greatgrand
4919,prapředek,forefather
4920,prarodiče,grandparents (= greatparents)
4921,pravidlo,rule
4922,právní,"adj. legal, law"
4923,církevní právo,see kanonický
4924,civilní právo,Civil Law
4925,domovské právo,right of domicile (residence qualification)
4926,stanné právo,martial law
4927,vlastnické právo,proprietory right (ownership)
4928,vším právem,by rights
4929,vydržené právo,prescriptive right
4930,pravoslavná církev,the Orthodox Church
4931,pravost,see authenticity
4932,privilegium,1. privilege 2. liberty (free of duty)
4933,probant,see střen
4934,proces,"process, see also přelíčení"
4935,soudní proces,see soudní pře
4936,procesionál,processional
4937,proclít,to clear goods
4938,prodavač,"shop assistant, (store) salesman"
4939,prodavačka,"shop assistant, (store) saleswoman, shopgirl"
4940,proděkan,sub-/assistent dean
4941,věčná profese,see věčné sliby
4942,profesor,1. professor 2. master/mistress (school)
4943,řádný profesor,ordinarius
4944,prohlášení,"declaration, avowal, vote, protestation, profession, confession, pronouncement, statement"
4945,prohlášky,see ohlášky
4946,proletář,subst. proletarian
4947,proletářský,acij. proletarian
4948,proměňování,Consecration (transubstantiation)
4949,prominent,prominent person (VIP)
4950,promoce,"graduation ceremony, degree ceremony, congregation, commencement"
4951,propadnout hrdlem,to forfeit one's life
4952,propachtovat,to rent (hist.)
4953,propouštěcí list,see list
4954,prorektor,deputy vicechancellor
4955,proroctví,prophecy
4956,prosba,"request, demand, petition"
4957,prosinec,December
4958,prosit Boha o pomoc,to pray to God for help
4959,proso,millet
4960,prošacování,see šacunk
4961,prošacovat,see šacovat
4962,Protektorát Čechy a Morava,Protectorate ofBohemia and Moravia109
4963,protestant,Protestant
4964,protistátní,treasonous
4965,protokol,"1. record, process verbal, transcript 2. memorandum	3. protocol"
4966,podací protokol,1. incoming mail book
4967,radní protokol,registry of town counsel
4968,protonotář,protonotary
4969,provazec,1. fathom (length measure)(metrol.)
4970,český provazec,"Bohemian fathom (= 52 Bohemian ells = 30,820 m)"
4971,čtvereční provazec,square fathom (square measure)
4972,provázek,see šňůra
4973,provazník,roper
4974,provinilec,"offender, transgressor, delinquent"
4975,prozatímní vláda,interim goverment
4976,prsten,ring
4977,prstolavosť,see malomocenství
4978,prstýnkář,ring-vendor
4979,průba,"probe (of the noble lineage)(gen., hist.)"
4980,průkaz,"certificate, card"
4981,řidičský průkaz,driving licence
4982,průpis,(handwritten) carbon copy
4983,Prusko,Prussia
4984,prut,lenght measure (metro!.)
4985,český prut,Bohemian prut(= 16 Bohemian feet)
4986,čtvereční český prut,Bohemian square prut(= 5 jitros = 25 square fathoms)
4987,prým prsní,see angina pectoris (hist.)
4988,přadlena,spinner (female)
4989,soudní pře,"lawsuit, trial"
4990,přečin,misdeed
4991,předák,foreman
4992,přímý předek,direct/lineal ascendant (gen.)
4993,předmanželské těhotenství,premarital pregnancy
4994,předmanželský styk,premarital sexual intercourse
4995,předmětové třídění,subject heading
4996,předmluva,preface
4997,přednášející,lecturer
4998,přednášet,"to give lectures, to lecture"
4999,přednáška,lecture
5000,předseda,chairman
5001,předsednictvo,presidium
5002,předválečný,pre-war
5003,předvečer,"night before some feast, see also vigilie"
5004,Přemyslovci,"the Přemyslids, the Przemyslids"
5005,přenešení,translation (of relics)
5006,popřeslici,on the distaff-side (on the female line)
5007,přesnice,see pascha
5008,přespolní,non-resident person (esp. in countryside)
5009,převýchova,re-education
5010,přezdívka,nickname
5011,přezkoumat,"1. to check up, to review, to revise"
5012,příbytek,"1. abode, home, residence (hist.)"
5013,příbuzenský,"of a relative, between relatives"
5014,příbuzenský poměr,family connection
5015,příbuznost,"affinity, relationship"
5016,duchovní příbuznost,spiritual relationship (reached only by baptism and confirmation)
5017,přímý příbuzný,lineal relative112
5018,přicestovat,to arrive in/at
5019,přidavač,"hod carrier, hodman"
5020,příděl,ration
5021,přídělový systém,rationing scheme
5022,přifařit,to incorporate in the same parish
5023,přihláška,1. application (for membership)
5024,přihlašovací lístek,police registration form
5025,příhoda,incident
5026,přijímající,partaker (ofthe Holy Communion)
5027,přijímat pod jednou (způsobou),to partake in one kind
5028,přijímat pod obojí (způsobou),to partake in both kinds
5029,přijít na svět,to come into the world
5030,přijít o život,to lose one's life
5031,přijít pod čepec,to go up the aisle (i. e. to get married)
5032,příjmení,sumame
5033,složené příjmení,compound sumame
5034,přilbice,see přilba
5035,příloha,"supplement, appendix"
5036,příměří,"armistice, truce"
5037,přímluvce,intercessor
5038,přímorky,see mor
5039,přímá linie,descent
5040,přímá ženská linie,direct female branch/line
5041,přináležející,appurtenant (thing)
5042,připovědět,see slíbit (hist.)
5043,přípravka,sixth-fom college/prep school
5044,přípřež,see potah
5045,příručka,"handbook, manual"
5046,statistická příručka,statistical yearbook/annual
5047,přísahat,to swear
5048,přísežný,swom
5049,přísežná výpověď,affidavit
5050,přísežné prohlášení,"declaration under oath, statutory declaration"
5051,příslib,see slib
5052,přístavba,extension (of a building)
5053,přistěhovalec,immigrant
5054,přistěhovalecký úřad,immigration office
5055,přistěhovalecký úředník,immigration officer
5056,příští,"next, following"
5057,příštího roku,next year
5058,příštipkář,cobbler
5059,přítel,1. friend 2. see příbuzný (hist.)
5060,krevní přítel,"(=,,blood ftiend"") consanguineous relative (hist.)"
5061,při přítomnosti,in presence
5062,u přítomnosti,see při přítomnosti
5063,v přítomnosti,see při přítomnosti
5064,přítomný,present
5065,příušnice,mumps
5066,přivést na žebrotu,to reduce a person to beggary
5067,přivést ženu do jiného stavu,to get a woman with child
5068,přívoz,ferry
5069,přiznání (daňové),"(tax) retum, also see fasse"
5070,přízvisko,see přezdívka
5071,psací,adj. writing
5072,psací náčiní,writing materials
5073,psací stroj,typewriter
5074,psanec,outlaw
5075,psaný vlastní rukou,"in one's own hand, see also"
5076,psaný vlastnoručně,see psaný vlastní rukou
5077,ručně psaný,hand-written
5078,psotník srdeční,see vmetek
5079,půlláník,peasant owning one half of lán (hide of land)
5080,purkmistr,burgomaster (hist.)
5081,purkrabí,see purkrabě
5082,putna,1. tub 2. hod
5083,putování,"wanderings, travels"
5084,ptivod,1. provenance 2. origin 3. source 4. descent (gen.) 5. lineage (gen.) 6. parentage (gen.)
5085,pych,"trespass (on forest, field or fisheries) involving damage or theft"
5086,pytláctví,poaching
5087,pytlák,poacher
5088,rabín,rabbi
5089,rabínský,"rabbinic, rabbinical"
5090,cilman,4. counsel
5091,Československá národní rada,Czechoslovak National Council115
5092,radnice,"town hall, city hall"
5093,rafinérie,refinery
5094,rak černětní,see nádor zhoubný kůže (hist.)
5095,rakev,"coffin, casket"
5096,Rakousko,Austria
5097,Rakousko-Uhersko,Austria-Hungary
5098,Rakousko-uherská monarchie,Austria-Hungari- an Monarchy
5099,rakovina,see nádor zhoubný
5100,rakovina pobřišnice,cancer of peritoneum
5101,rakovina žaludku,cancer of stomach
5102,rakušáctvi,"Austrophile attitude (coll., hist.)"
5103,rána smrtelná,death-blow
5104,rána střelná,gun-shot
5105,raněný,wounded
5106,ranhojič,(field) surgeon (hist.)
5107,ráno,moming
5108,razit mince,to mint
5109,razítkovat,to rubber-stamp
5110,ražebné,mintage (num.)
5111,reálka,realschule (secondary technical school)
5112,rebel,see buřič
5113,rebelie,rebellion
5114,selská rebelie,peasants' rebellion
5115,recto,recto (the right-hand page of open book)
5116,redaktor,editor
5117,redemptorista redemptoristka reedice,reissue
5118,reemigrant,re-émigré
5119,reforma,subst. reform
5120,regiment,see pluk
5121,registratura,see spisovna
5122,rehabilitovat,to rehabilitate
5123,rejstřík,see registrum
5124,berní rejstřík,tax register (dipi.)119
5125,rejstřík zachovacích listů,register of letters of probity
5126,urbární rejstřík,(exact) land and duties register
5127,rejtar,ríder (hist.)
5128,rekatolizace,recatholicisation
5129,násilná rekatolizace,forced recatholicisation
5130,rekrut,recruit
5131,relace,subst. report
5132,repertář,"repertory (index, register)"
5133,represe,"suppression, oppression, repression"
5134,reprodukce,reproduction
5135,republika,republic
5136,Československá lidová republika,the Czechoslovak People's Republic
5137,Československá socialistická republika,the Czechoslovak Socialistic Republic
5138,Druhá republika,the Second Republic
5139,První republika,the First Republic
5140,revertent,see navrátilec
5141,revmatismus,rheumatism
5142,revolta,revolt
5143,robátko,see dítě (hist.)
5144,robě,see dítě (hist.)
5145,jízdní robota,"(=,,ride manorial labour"")"
5146,ruční robota,"(=,,hand manorial labour"") see pěší robota"
5147,robotník,villein (doing compulsmy work-robota)
5148,robotovat,to perform one's corvée (hist.)
5149,ročenka,year-book
5150,rodiče,parents
5151,rodičovský,parental
5152,rodičovství,parenthood
5153,plánované rodičovství,planned parenthood
5154,rodilý,native-bom
5155,rodina,family
5156,jaderná rodina,nuclear family (dem.)
5157,rodinný,"familial, family"
5158,rodinná hrobka,family vault
5159,rodinná kronika,"family history book, family records"
5160,rodinná vlastnost,family strain
5161,rodinné jméno,family name
5162,rodinný příslušník,dependent (member of a family)
5163,rodná řeč,"mother-tongue, native tongue/lan­ guage"
5164,rodná země,"native country, country ofbirth"
5165,rodné jméno,maiden name
5166,rodný list,birth certificate
5167,rodová šlechta,hereditary peerage/nobility/gentry
5168,rodový původ,"descent, origin, parentage"
5169,rodokmen přímé mužské linie,pedigree in direct male line
5170,rodokmen přímé linie,direct lineage pedigree
5171,rodokmen rodové větve,pedigree of the
5172,rohy,"horns (heral.), see also zbroj"
5173,jubilejní rok,"Jubilee year, see also milostivé léto (rel.)"
5174,letošního roku,see letos
5175,přítomný rok,present year
5176,roční období,season
5177,rok narození,year of birth
5178,rok od inkarnace,year of the Incarnation (rel.)
5179,rok od narození Páně,see léta Páně
5180,rok úmrtí,year of death
5181,rok vydání,year of issue/publication
5182,solární rok,solar year (chron.)
5183,rolník,"subst. peasant, farmer (male)"
5184,Rom,Romany
5185,rota,company
5186,rotmistr,regimental sergeant major/sergeant-major
5187,rotný,company sergeant major/warrant officer/ sergeant 1st class
5188,jarní rovnodennost,the spring/vemal equinox
5189,podzimní rovnodennost,the autumnal equinox
5190,Rozeslání apoštolů,Division of Apostles (July 15)
5191,rozhodčí,arbitrator
5192,rozhojnění erbu,see polepšení erbu
5193,rozhřešení,absolution
5194,rozchod,separation
5195,rozkaz,"1. order, command, mandate"
5196,rozkladatelné palandy,berths (used on ships by passangers - emmigrants)
5197,rozluka,divorce (dissolution of connubial duties)
5198,rozpad červených krvinek,disintegration of red blood cells
5199,rozpálení plic,see zánět plic
5200,rozplozovat (se),to reproduce
5201,rozptyl,see rozsev
5202,rozrod,issue of a married couple
5203,rozsev,dispersion
5204,rozsudek,"verdict, sentence"
5205,osvobozující rozsudek,verdict of non-guilty
5206,rozšíření průdušek,bronchiectasis (med.)
5207,rozvod,subst. divorce (legal separation when a marriage bond is dissoluted)
5208,rozvod z viny manžela,divorce for wife
5209,rozvod z viny manželky,divorce for husband
5210,rozvodový,adj. divorce
5211,rozvodová pře,divorce suit
5212,ručit,to stand guarantee for
5213,ručitel,guarantor
5214,ruda,ore
5215,ruina,see zřícenina
5216,ruka Páně ho ranila,see krvácení mozkové
5217,rukovat,see narukovat
5218,rukověť,handbook
5219,rustikál,rustical (hist.)
5220,rustikální,rustic
5221,rybník,"pond, pool"
5222,rygle,see spalničky
5223,královský rychtář,bailiff (hist.)
5224,Řád podvazkový,the Most Nohle Order of the Garter
5225,Řád zlatého rouna,Order of the Golden Fleece
5226,žebravé řády,see mendikantské řády
5227,řádový,of the (holy) order
5228,řádová škola,church school
5229,řeholní,adj. regular
5230,řemenář,strap-maker
5231,řemeslník,"handicraftsman, artisan, tradesman, craftsman"
5232,řemeslo,(handi)craft
5233,řeřátek,see karbunkl
5234,řetězokovář,chainmaker
5235,řidičský průkaz,see průkaz
5236,říjen,October
5237,římský,Roman
5238,svatá říše římská národa německého,the Holy Roman Empire of the German Nation
5239,říšský,imperial
5240,říšský protektor,Reichsprotector
5241,sádky,fish-hatchery
5242,sága,saga
5243,sáh,length measure (metrol.)
5244,český sáh,Bohemian sáh (= 3 Bohemian ells)
5245,moravský starý sáh,Moravian old sáh
5246,Salcbursko,(Region of) Salzburg (Austria)
5247,salesián,Salesian
5248,salutace,salutation (greeting)(dipl.)
5249,salmonelóza,salmonellosis (med.)
5250,samospráva,"self-administration/government (e.g. municipal government), autonomy"
5251,samosprávný,self-administrative (municipal)
5252,sanitář,hospital technician
5253,sankce,sanction
5254,sanytr,potassium nitrate
5255,sapér,see ženista
5256,sarkom,see nádor zhoubný
5257,Sasko,Saxony
5258,Dolní Sasko,Lower Saxony
5259,Horní Sasko,Upper Saxony
5260,saský,Saxon
5261,sazeč,type-setter
5262,sbírka,collection
5263,"sbor1. choir, chorus",2. congregation (rel.)
5264,sborník,"1. miscellany, memorial volume, procee- dings/report (of conferrence)"
5265,sčítání lidu,see soupis obyvatel
5266,sčítání obyvatel,see soupis obyvatel
5267,sebevrah,suicide (a person that killed himself)
5268,sebevražda,suicide (self-destruction)
5269,spáchat sebevraždu,to commit suicide
5270,sedlák,1. peasant (farrner)(hist.) 2. countryman
5271,sekera,axe
5272,seminář1. seminary (school for priests),2. semi
5273,Semita,Semite
5274,semitský,Semitic
5275,seno,hay
5276,senoseč,"haymaking, hay harvest"
5277,separace,separation
5278,septuagesima,Septuagesima
5279,servita,Servite
5280,milosrdná sestra,sister ofmercy (rel.)
5281,nevlastní sestra,half-sister
5282,řádová sestra,nun (rel.)
5283,řeholní sestra,see řádová sestra
5284,sestřenice,cousin (female)
5285,sešlost věkem,marasmus
5286,setník,captain (hist.)
5287,sexagesima,Sexagesima Sunday
5288,sezdávat,see oddávat
5289,seznam,"register, list, (to the book) index, roll"
5290,seznam mrtvých,death roll
5291,seznam voličů,electoral roll
5292,schematismus velkostatků,yearbook of estates135
5293,schovanec,1. foster-child (male) 2. ward
5294,schůzka,"meeting, tryst, appointment, date"
5295,sibiřský,Siberian
5296,Sibiřská magistrála,(Trans-)Siberian railroad
5297,sídlo,"1. seat 2. settlement, site"
5298,signet,signet (sigil.)
5299,silikóza,"see zaprášení plic silnice road, highway, route"
5300,sirkař,match-maker (maker of safety matches)
5301,siroba,"orphanhood, orphanage"
5302,sirota see siroba sirotčinec,"orphanage sirotčí orphan's, pupilary"
5303,sirotčí seznam,list of orphans
5304,sirotek,"orphan, fatherless/motherless child"
5305,síťař,net-maker
5306,skákající,rampant (heral.)
5307,skladatel,composer (music)
5308,skladník,stores manager
5309,sklárna,glass works
5310,sklářství,glass-industry/manufacture
5311,sklenář,glazier
5312,sklep,cellar
5313,skleróza srdečnice,sclerosis of aorta
5314,sklíčení střev,see neprůchodnost střev
5315,sklonek,close
5316,na sklonku,"towards the close, in the later part (e.g.of the 17thcentury)"
5317,skon,"demise, passing away (hist.)"
5318,skonání,see skon
5319,skvrnivka,see skvrnivka epidemická
5320,slabost (u kojence),see nedonošenost
5321,slad,malt
5322,sládek,brewer
5323,sladovna,malt(ing)-house
5324,sladovník,maltster
5325,sláma,straw
5326,slavit mši svatou,see celebrovat mši svatou
5327,slavnost,solemnity; feast
5328,slavnostní zahájení,matriculation ceremony
5329,slavobrána,triumphal arch
5330,Slavonsko,Slavonia
5331,Horní Slezsko,Upper Silesia
5332,Dolní Slezsko,Lower Silesia
5333,slezský,adj. Silesian
5334,slezská knížectví,Silesian principalities
5335,slavné sliby,solemn profession/vows
5336,slib čistoty,vow of chastity
5337,slib chudoby,vow of poverty
5338,slíbit,"to promise, to vow"
5339,slintavka (a kulhavka),foot (and mouth) disease
5340,Slovák,subst. Slovak (male)
5341,Slovan,Slav
5342,slovanský,Slavie
5343,Slovenka,subst. Slovak (female)
5344,Slovensko,Slovakia
5345,Slovenská republika,the Slovak Republic
5346,naučný slovník,"see encyklopedie, lexikon"
5347,slovo,word
5348,slovutný,renowned
5349,složit,1. to fold 2. to compose
5350,složit zbraně,to lay arms
5351,sluha (velmože),henchman
5352,Slunce,Sun
5353,sluneční,solar
5354,sluneční cyklus,see solární cyklus
5355,sluneční hodiny,sun dial
5356,sluneční reguláry,see solární reguláry
5357,slunovrat,solstice
5358,letní slunovrat,summer solstice
5359,zimní slunovrat,winter solstice
5360,mít službu,to be in charge
5361,služby boží,divine service
5362,služebná,"maid (servant), servant, domestic"
5363,služební,"acij. service, duty"
5364,služební,official quarters
5365,služební tajemství,official secret
5366,mírová smlouva,peace-treaty
5367,Mnichovská smlouva,Munich Agreement138
5368,nájemní smlouva,pledge
5369,pachtovní smlouva,lease contract
5370,trhovásmlouva,market contract (e.g. land transaction contract)
5371,urbariální smlouvy,contracts regulating taxes frorn the land property of a peasantry139
5372,smrtonosný,fatal
5373,smrtedlný,see smrtelný
5374,smuteční hostina,funeral wake
5375,smuteční oznámení,"announcement of death, rnouming-card"
5376,obléct smutek,to go into mouming
5377,český zemský sněm,the Land Diet of Bohemia140
5378,generální sněm,general assembly moravský zemský sněm the Land Diet of Moravia
5379,sněmovna,parliament
5380,dvojkomorová sněmovna,bicameral parliament
5381,Poslanecká sněmovna,Chamber of Deputies141
5382,sněť slezinná,see uhlák
5383,snop,"sheaf, stook"
5384,snoubenci,"the betrothed, engaged (couple)"
5385,snoubenec,1. fiancé 2. betrothed (male)
5386,snoubenka,1. fiancée 2. betrothed (female)
5387,snubní,nuptial
5388,snubní prsten,see prsten snubní
5389,sňatečnost,marriage rate
5390,kanonickýsňatek,"canon marriage, see also náboženský sňatek, církevní sňatek"
5391,náboženský sňatek,"religious marriage, see also kanonický sňatek, církevní sňatek"
5392,pokoutní sňatek,hedge marriage (without consent)
5393,příbuzenský sňatek,kin marriage
5394,rodinný sňatek,inbreed (marriage offamily members)
5395,sňatek in extremis,marriage in extremis142
5396,sňatek z lásky,love match
5397,tajný sňatek,clandestine marriage
5398,úřední sňatek,see civilní sňatek
5399,sokol,falcon
5400,Sokol,"(=,,Falcon"") the Sokol143"
5401,soška,"figure, statuette"
5402,současnice,contemporary (female)
5403,současník,contemporary (male)
5404,soud,1. court (oflaw) 2. judgment
5405,smírčí soudce,justice ofthe peace
5406,soudní,judicial
5407,soudní dvůr,law court
5408,soudní lékař,"forensic surgeon, coroner"
5409,soudní pitva,see pitva
5410,soudní líčení,session (of a court)
5411,soudní řízení,trial
5412,soukenice,draper (female)
5413,soupis branců,conscription (milit.)
5414,soupis lidu,"(=,,register of people"") census"
5415,sourozenec,"sibling, brother or sister"
5416,spálenina,see popálenina
5417,spalničky,measles
5418,spása,salvation
5419,Armáda spásy,Salvation Army
5420,spasit,to save
5421,spisovný,literary
5422,spisový,documentary
5423,Spojené státy americké,United States of America
5424,spojenec,ally
5425,spojenectví,alliance
5426,společenské vědy,arts
5427,spolubydlící,"co-resident, roommate"
5428,spolubydlící příbuzný,coresident relative (dem.)
5429,spolužák,"schoolfellow, schoolmate, classmate"
5430,spontánní,see samovolný
5431,spor,"1. contention, feud, dissension 2. dispute"
5432,správa,administration
5433,duchovní správa,churc.h administration
5434,zemská správa,land/provincial administration
5435,správce,"administrator, keeper, custodian, curator, steward"
5436,srdce,heart
5437,srdeční,cordial
5438,srdeční štítek ,see štítek srdnice
5439,stárek,"chiefmiller, head ofmill staff(hist.)"
5440,staroba,senility
5441,starodávný,"adj. time-honoured, ancient staromládenecký bachelor's staropanenství spinsterhood"
5442,starost,see stáří (hist.)
5443,starosta,"mayor, burgermeister, chairman of the town council"
5444,starožitnost,"subst. antique, curiosity"
5445,stará panna,spinster
5446,stát při knihách gruntovních,"(=,,to stand at land registers"") to stand trial at village court (e.g. for sale of farm)(hist.)"
5447,stát se,1. to become 2. to take place/to occur/to happen (coronation took place in 1527)
5448,deskový statek,"(= ,,tabular estate"") registered estate, see also zpupný statek"
5449,královské statkyRoyal demesne nezakoupený statek,"landlord 's farm, leased by peasant (in Britain copyhold)"
5450,zakoupený statek,hereditary farm with holder's (peasanťs) right of succession and disposition (emphyteusis)
5451,zpupný statek,"allodial estate, see also deskový statek"
5452,statistika,statistics
5453,statistický,statistical
5454,statkář,"I. landowner, landlord, landholder"
5455,panský stav Estate ofNobility prelátský stav Estate of Prelates rodinný stav,marital status
5456,rytířský stav,Estate of Gentry
5457,vladycký stav,"Estate of Gentry (original term,"
5458,stavení,building
5459,stavitel,master builder
5460,stavovské povstání,Uprising ofthe Estates151
5461,stěhovat (se),to move (oneself)
5462,stesk,languor
5463,stesk po domově,home-sickness
5464,Stolec sv. Petra,the See of St. Peter
5465,století,century
5466,Stolování sv. Petra,Chair of St. Peter (February 22)
5467,stonat,see být nemocný
5468,stopa,foot (length measure)(metrol.)
5469,česká stopa,"Bohemian foot (= 1/2 ofBohemian ell = 29,635 cm)"
5470,moravská stopa,"Moravian foot (= 1/6 of Moravian sáh= 29,59 cm)"
5471,čtvereční stopa,square foot
5472,čtvereční česká stopa,"Bohemian square foot (= 878,233 cm2"
5473,čtvereční moravská stopa,"Moravian square foot (= 875,568 cm2"
5474,stoupa,stamp-mill
5475,stránka,see strana 1.
5476,strava,"1. fare, diet 2. food"
5477,strava a byt,board and lodging
5478,stravování,board
5479,stráž,"1. guard 2. sentinel, sentry, (hist.) watchman"
5480,strážce,"guard, custodian, keeper"
5481,strážmistr,sergeant
5482,strážník,policeman
5483,strážný,watch
5484,strom rodu duchovního,tree of a spiritual relationship
5485,struma,see nemoci štítné žlázy
5486,strunař,"stringer, string maker"
5487,strych,"1. square measure, see jitro (metro!.)"
5488,český strych,Bohemian strych (= 4 věrtels
5489,středa,Wednesday
5490,středohornoněmecký,adj. Middle High German
5491,středopostí,Mid-Lent Sunday
5492,středověk,the Middle Ages
5493,středověký,medieval
5494,stříbrňák,silver coin (hist.)
5495,stříkavka,see úplavice střevní
5496,studánka,"fountain, well"
5497,student,student (male)
5498,vysokoškolský student,undergraduate
5499,studentka,student (female)
5500,studium,"study, studies"
5501,dálkové studium,external study
5502,večerní studium,adult education
5503,studna,well
5504,studnař,well-sinker/digger
5505,stůl,table
5506,sudetský Němec,subst. Sudeten German
5507,suchá nemoc,see tuberkulóza (plicní)
5508,sušit,"to dry, to dry-kiln"
5509,svat,"matchmaker, marriage-broker (hist.)"
5510,Svatá Trojice,Trinity Sunday (the 1st after Whitsun)
5511,svatba,"wedding, nuptials, marriage"
5512,svatební,"wedding, nuptial, bridal"
5513,svatební cesta,"wedding trip, tour, usu. only honeymoon"
5514,svatební den,wedding-day
5515,svatební komnata,bride-chamber (hist.)
5516,svatební oznámení,wedding-card/announcement
5517,sváteční den,feast day
5518,svátek,feast
5519,zasvěcený svátek,boly day of obligation (rel.)
5520,svatodušní,Whitsun adj.
5521,Nejsvětější Svátost,the Blessed Sacrament
5522,svátost nemocných,see pomazání nemocných
5523,udělit svátost,to celebrate
